ticker,close_time,strike,result
KXETH-26MAR2210-B1980,2026-03-29 14:00:00+00:00,1980.0,no
KXETH-26MAR2208-B2540,2026-03-29 12:00:00+00:00,2540.0,no
KXETH-26MAR2209-B2000,2026-03-29 13:00:00+00:00,2000.0,no
KXETH-26MAR2207-B2040,2026-03-29 11:00:00+00:00,2040.0,no
KXETH-26MAR2206-B2000,2026-03-29 10:00:00+00:00,2000.0,no
KXETH-26MAR2205-B2000,2026-03-29 09:00:00+00:00,2000.0,no
KXETH-26MAR2217-B2010,2026-03-29 21:00:00+00:00,2010.0,no
KXETH-26MAR2203-B2840,2026-03-29 07:00:00+00:00,2840.0,no
KXETH-26MAR2204-B2000,2026-03-29 08:00:00+00:00,2000.0,no
KXETH-26MAR2202-B2340,2026-03-29 06:00:00+00:00,2340.0,no
KXETH-26MAR2201-B2000,2026-03-29 05:00:00+00:00,2000.0,no
KXETH-26MAR2123-B2840,2026-03-29 03:00:00+00:00,2840.0,no
KXETH-26MAR2200-B2000,2026-03-29 04:00:00+00:00,2000.0,no
KXETH-26MAR2122-B2340,2026-03-29 02:00:00+00:00,2340.0,no
KXETH-26MAR2121-B2000,2026-03-29 01:00:00+00:00,2000.0,no
KXETH-26MAR2119-B2840,2026-03-28 23:00:00+00:00,2840.0,no
KXETH-26MAR2120-B2000,2026-03-29 00:00:00+00:00,2000.0,no
KXETH-26MAR2118-B2340,2026-03-28 22:00:00+00:00,2340.0,no
KXETH-26MAR2116-B2020,2026-03-28 20:00:00+00:00,2020.0,no
KXETH-26MAR2114-B2840,2026-03-28 18:00:00+00:00,2840.0,no
KXETH-26MAR2115-B2020,2026-03-28 19:00:00+00:00,2020.0,no
KXETH-26MAR2113-B2340,2026-03-28 17:00:00+00:00,2340.0,no
KXETH-26MAR2112-B2020,2026-03-28 16:00:00+00:00,2020.0,no
KXETH-26MAR2110-B2840,2026-03-28 14:00:00+00:00,2840.0,no
KXETH-26MAR2111-B2020,2026-03-28 15:00:00+00:00,2020.0,no
KXETH-26MAR2109-B2340,2026-03-28 13:00:00+00:00,2340.0,no
KXETH-26MAR2108-B2000,2026-03-28 12:00:00+00:00,2000.0,no
KXETH-26MAR2106-B2840,2026-03-28 10:00:00+00:00,2840.0,no
KXETH-26MAR2107-B2000,2026-03-28 11:00:00+00:00,2000.0,no
KXETH-26MAR2105-B2340,2026-03-28 09:00:00+00:00,2340.0,no
KXETH-26MAR2104-B2000,2026-03-28 08:00:00+00:00,2000.0,no
KXETH-26MAR2102-B2840,2026-03-28 06:00:00+00:00,2840.0,no
KXETH-26MAR2103-B2000,2026-03-28 07:00:00+00:00,2000.0,no
KXETH-26MAR2717-B2090,2026-04-03 21:00:00+00:00,2090.0,no
KXETH-26MAR2101-B1980,2026-03-28 05:00:00+00:00,1980.0,no
KXETH-26MAR2117-B2810,2026-03-28 21:00:00+00:00,2810.0,no
KXETH-26MAR2100-B1980,2026-03-28 04:00:00+00:00,1980.0,no
KXETH-26MAR2022-B2640,2026-03-28 02:00:00+00:00,2640.0,no
KXETH-26MAR2023-B1980,2026-03-28 03:00:00+00:00,1980.0,no
KXETH-26MAR2021-B2140,2026-03-28 01:00:00+00:00,2140.0,no
KXETH-26MAR2020-B2000,2026-03-28 00:00:00+00:00,2000.0,no
KXETH-26MAR2018-B2640,2026-03-27 22:00:00+00:00,2640.0,no
KXETH-26MAR2019-B1980,2026-03-27 23:00:00+00:00,1980.0,no
KXETH-26MAR2016-B2140,2026-03-27 20:00:00+00:00,2140.0,yes
KXETH-26MAR2015-B1980,2026-03-27 19:00:00+00:00,1980.0,no
KXETH-26MAR2013-B2640,2026-03-27 17:00:00+00:00,2640.0,no
KXETH-26MAR2014-B1980,2026-03-27 18:00:00+00:00,1980.0,no
KXETH-26MAR2012-B2140,2026-03-27 16:00:00+00:00,2140.0,yes
KXETH-26MAR2011-B1980,2026-03-27 15:00:00+00:00,1980.0,no
KXETH-26MAR2009-B2640,2026-03-27 13:00:00+00:00,2640.0,no
KXETH-26MAR2010-B1980,2026-03-27 14:00:00+00:00,1980.0,no
KXETH-26MAR2008-B2140,2026-03-27 12:00:00+00:00,2140.0,yes
KXETH-26MAR2007-B2000,2026-03-27 11:00:00+00:00,2000.0,no
KXETH-26MAR2005-B2640,2026-03-27 09:00:00+00:00,2640.0,no
KXETH-26MAR2006-B2040,2026-03-27 10:00:00+00:00,2040.0,no
KXETH-26MAR2004-B2140,2026-03-27 08:00:00+00:00,2140.0,no
KXETH-26MAR2003-B2060,2026-03-27 07:00:00+00:00,2060.0,no
KXETH-26MAR2001-B2640,2026-03-27 05:00:00+00:00,2640.0,no
KXETH-26MAR2002-B2060,2026-03-27 06:00:00+00:00,2060.0,no
KXETH-26MAR2000-B2290,2026-03-27 04:00:00+00:00,2290.0,no
KXETH-26MAR1923-B2070,2026-03-27 03:00:00+00:00,2070.0,no
KXETH-26MAR1921-B2790,2026-03-27 01:00:00+00:00,2790.0,no
KXETH-26MAR1922-B2070,2026-03-27 02:00:00+00:00,2070.0,no
KXETH-26MAR1920-B2290,2026-03-27 00:00:00+00:00,2290.0,no
KXETH-26MAR1919-B2070,2026-03-26 23:00:00+00:00,2070.0,no
KXETH-26MAR1916-B2790,2026-03-26 20:00:00+00:00,2790.0,no
KXETH-26MAR1918-B2070,2026-03-26 22:00:00+00:00,2070.0,no
KXETH-26MAR1915-B2290,2026-03-26 19:00:00+00:00,2290.0,no
KXETH-26MAR1914-B2050,2026-03-26 18:00:00+00:00,2050.0,no
KXETH-26MAR1912-B2790,2026-03-26 16:00:00+00:00,2790.0,no
KXETH-26MAR1913-B2070,2026-03-26 17:00:00+00:00,2070.0,no
KXETH-26MAR1911-B2290,2026-03-26 15:00:00+00:00,2290.0,no
KXETH-26MAR1910-B2070,2026-03-26 14:00:00+00:00,2070.0,no
KXETH-26MAR1909-B2070,2026-03-26 13:00:00+00:00,2070.0,no
KXETH-26MAR1917-B2560,2026-03-26 21:00:00+00:00,2560.0,no
KXETH-26MAR1908-B2070,2026-03-26 12:00:00+00:00,2070.0,no
KXETH-26MAR1906-B2590,2026-03-26 10:00:00+00:00,2590.0,no
KXETH-26MAR1907-B2070,2026-03-26 11:00:00+00:00,2070.0,no
KXETH-26MAR1901-B2150,2026-03-26 05:00:00+00:00,2150.0,no
KXETH-26MAR1900-B2150,2026-03-26 04:00:00+00:00,2150.0,no
KXETH-26MAR1822-B2590,2026-03-26 02:00:00+00:00,2590.0,no
KXETH-26MAR1823-B2150,2026-03-26 03:00:00+00:00,2150.0,no
KXETH-26MAR1821-B2170,2026-03-26 01:00:00+00:00,2170.0,no
KXETH-26MAR1820-B2170,2026-03-26 00:00:00+00:00,2170.0,no
KXETH-26MAR1818-B2590,2026-03-25 22:00:00+00:00,2590.0,no
KXETH-26MAR1819-B2170,2026-03-25 23:00:00+00:00,2170.0,no
KXETH-26MAR1816-B2170,2026-03-25 20:00:00+00:00,2170.0,no
KXETH-26MAR1815-B2170,2026-03-25 19:00:00+00:00,2170.0,no
KXETH-26MAR1813-B2590,2026-03-25 17:00:00+00:00,2590.0,no
KXETH-26MAR1814-B2170,2026-03-25 18:00:00+00:00,2170.0,no
KXETH-26MAR1812-B2170,2026-03-25 16:00:00+00:00,2170.0,no
KXETH-26MAR1811-B2170,2026-03-25 15:00:00+00:00,2170.0,no
KXETH-26MAR1809-B2590,2026-03-25 13:00:00+00:00,2590.0,no
KXETH-26MAR1810-B2190,2026-03-25 14:00:00+00:00,2190.0,no
KXETH-26MAR1808-B2190,2026-03-25 12:00:00+00:00,2190.0,no
KXETH-26MAR1807-B2190,2026-03-25 11:00:00+00:00,2190.0,no
KXETH-26MAR1805-B2590,2026-03-25 09:00:00+00:00,2590.0,no
KXETH-26MAR1806-B2190,2026-03-25 10:00:00+00:00,2190.0,no
KXETH-26MAR1804-B2890,2026-03-25 08:00:00+00:00,2890.0,no
